"","date_publish","source_domain","country","title_translated","first_two_sentences","Russian.Involvement","Sentiment","Topic","date_publish_continuous","has_time","date_publish_probabilistic","sentiment_clean","topic_clean","treatment","running","running_continuous","running_probabilistic","state_owned","indicator","csto","nato","neutral","high_russia"
"9899",2022-02-25,"1in.am","Armenia","Putin is ready to send an order to fight with Ukraine.","Russia's President Vladimir Putin is ready to send a Russian order to fight with Ukraine.","Russian","Negative","Military",2022-02-25 12:00:00,FALSE,2022-02-25 08:33:43.224108,-1,"Military",1,1,129600,117223.224107504,0,3,1,0,0,0
"53749",2022-04-11,"trthaber.com","Turkey","TRT News views the destruction in Mikolayiv, Ukraine","One of the cities of Ukraine, the target of Russia's attacks, is Mikolayiv... the port city in the south of the country has been devastated by bombings. The TRT News team has seen the destruction of the governor's building on March 29th.","Russian","Negative","Military",2022-04-11 16:35:00,TRUE,2022-04-11 16:35:00,-1,"Military",1,46,4034100,4034100,1,4,0,1,0,0
"13685",2022-03-31,"nashaniva.by","Belarus","The railway officer was detained for transmitting a photo of the television channel.","Prospective television channels report the detention in Gomel province of 43-year-old Alexander Lucinovich, the reason being the transmission of a photo of Russian military equipment to the Belarushki Gayun television channel, which was declared extremist by an extremist group on 15 March.","Russian","Negative","Military",2022-03-31 14:50:27,TRUE,2022-03-31 14:50:27,-1,"Military",1,35,3077427,3077427,0,3,1,0,0,1
"18127",2022-03-11,"demokrata.hu","Hungary","Access to Instagram was restricted in Russia","Russian media and telecommunications surveillance (Roszkomnadzor) restricted access to Instagram in Russia on Friday, after the social network owner, the American Meta Platforms, agreed to allow the call for violence against the Russians. Roskomnadzor decided to block on the basis of a demand from the Attorney General after filing a court action to prohibit the status and activity of the Meta Platforms extremist organization, hatred","Russian","Negative","Other",2022-03-11 16:42:00,TRUE,2022-03-11 16:42:00,-1,"Other",1,15,1356120,1356120,0,3,0,1,0,0
"8119",2022-05-08,"zerkalo.az","Azerbaijan","Ukrainian troops went on a counter-offensive near Zaporizhiya and in Kharkiv direction","The Ukrainian armed forces have successfully counter-attacked in Zaporozhsk province, as reported by the Zaporozhskaya OGA press service. ""The enemy has not conducted any active fighting in the Zaporozhsk region.","Russian","Negative","Military",2022-05-08 11:36:53,TRUE,2022-05-08 11:36:53,-1,"Military",1,73,6349013,6349013,0,3,1,0,0,0
"48629",2022-02-24,"lajme.rtsh.al","Albania","Russian assault on Ukraine, 7 casualties reported","Ukrainian police have announced that seven people have so far lost their lives in the bombing taken by Russian forces, officials say an attack on a military unit in Podilsk, on the outskirts of Odessa, has taken six people's lives and injured seven others.19 persons have disappeared reportedly and dozens injured, another person has lost his life in the city of Mariupol.","Russian","Negative","Military",2022-02-24 12:00:00,FALSE,2022-02-24 19:06:25.687991,-1,"Military",1,0,43200,68785.6879906654,1,4,0,1,0,0
"3075",2022-08-18,"panorama.com.al","Albania","Russia considers UN proposal for demilitarisation of the plant in Zaporija unacceptable","Moscow has rejected a proposal by UN Secretary General Antonio Guterres to demilitarise the area around the nuclear power plant in Zaporizja, south of Ukraine. The Russians have taken control of this area shortly after the start of the war in Ukraine on February 24th.During a press conference on August 18th, Russian Foreign Ministry spokesman Ivan Nechaev has said the proposals are unacceptable.","Russian","Negative","Military",2022-08-18 16:28:00,TRUE,2022-08-18 16:28:00,-1,"Military",1,175,15179280,15179280,0,3,0,1,0,0
"717",2022-01-22,"panorama.com.al","Albania","Deadly weapons promised by Joe Biden arrive in Ukraine, CNN: American Embassy seeks evacuation of staff amid fear of war","The United States has sent deadly weapons to Ukraine in the midst of the peak of tensions that have caused the growing conflict with Russia. In a Twitter post, the US Embassy in Kier says that among the aides there are ammunition for Ukrainian first-line defenders.","Russian","Negative","Military",2022-01-22 14:52:00,TRUE,2022-01-22 14:52:00,-1,"Military",0,-33,-2797680,-2797680,0,1,0,1,0,0
"33839",2022-02-27,"sabah.com.tr","Turkey","At the last minute, during the 4th day of the Russian Ukrainian War, Zelenski made a flash statement: we filed a lawsuit, come to trial next week.","On the 4th day of the Russian Ukrainian war, the conflict in Ukraine continues without slowing down. Finally, a city of Ukraine has fallen, while in Harkov, where the explosions have not stopped since morning, Ukrainian forces have managed to repel Russian troops.","Russian","Negative","Military",2022-02-27 14:03:30,TRUE,2022-02-27 14:03:30,-1,"Military",1,3,309810,309810,0,3,0,1,0,0
"8287",2022-06-06,"zerkalo.az","Azerbaijan","India and Europe renounce Russian diamonds","Russia continues to lose key commodity markets against the backdrop of sanctions imposed after the invasion of Ukraine. Following the difficulties in the oil market, the collapse of gas exports and grains, Alrosa, the world's largest diamond producer, accounting for 29 per cent of the global carat market.","Russian","Negative","Economic",2022-06-06 11:08:48,TRUE,2022-06-06 11:08:48,-1,"Economic",1,102,8852928,8852928,0,3,1,0,0,0
"29353",2022-04-24,"unimedia.info","Moldova","(photo) Ou de Pashti from a picture of war, the joy of the Ukrainian Rade: ""There are still more of them""","“There are only letters left” (N.N. only the Ouá de Pašti left us), wrote the official institution of Kiev.Russia attacked Ukraine on 24 February 2022, announcing a “denasification and demilitarisation operation”.","Russian","Negative","Culture",2022-04-24 12:29:12,TRUE,2022-04-24 12:29:12,-1,"Culture",1,59,5142552,5142552,0,3,0,0,1,1
"15626",2021-10-14,"168.hu","Hungary","The daily number of infected and dead has fallen to the record in Russia","Almost a thousand people died in one day of the coronal virus complications. In the last day, 31,299 new infected were registered, and 986 people died from the complications of the covid-19 disease caused by the coronal virus.","Russian","Negative","Health",2021-10-14 15:39:00,TRUE,2021-10-14 15:39:00,-1,"Other",0,-133,-11434860,-11434860,0,1,0,1,0,0
"54464",2022-08-04,"trthaber.com","Turkey","Gazprom: There's no way to recover the North Stream gas turbine","As Western countries continue their sanctions towards Russia due to their attack on Ukraine, Gazprom, a Russian state energy company, launched maintenance operations on the North Stream 1 pipeline, where gas flow was provided to Europe on July 27th. Gasprom said the gas crisis would continue to increase.","Russian","Negative","Economic",2022-08-04 06:58:00,TRUE,2022-08-04 06:58:00,-1,"Economic",1,161,13935480,13935480,1,4,0,1,0,0
"35274",2022-02-27,"sozcu.com.tr","Turkey","New developments in the Ukrainian-Russian war: troops trying to invade Kiev were destroyed","New development in the Ukrainian-Russia war: Units trying to invade Kiev have been destroyed. Following the decision to negotiate between Ukrainian Foreign Minister Dimitro Kuleba, Russia-Ukraina, ▪A preconditioned ultimatum with Russia is already a victory.","Russian","Negative","Military",2022-02-27 17:22:43,TRUE,2022-02-27 17:22:43,-1,"Military",1,3,321763,321763,0,3,0,1,0,0
"2433",2022-05-18,"panorama.com.al","Albania","War in Ukraine/Find over 1,000 dead civilians in Kiev region","Almost a thousand civilians have been found dead in the Kiev region during the Russian invasion of Ukraine.] Exactly, we have troops of 1288 people killed.I'm telling you, civilians say Andrey Nyebytov, head of the Kiev Region Police, reports Interfax-Ukraine news agency.","Russian","Negative","Military",2022-05-18 16:27:00,TRUE,2022-05-18 16:27:00,-1,"Military",1,83,7230420,7230420,0,3,0,1,0,0
"17293",2022-08-30,"168.hu","Hungary","The Gazprom started shutting down the gas tap again.","Due to disagreements with the Russian energy company Gazprom's contract, Engie announced from Tuesday that it would reduce the volume of gas intended for the global energy service provider, which is the largest gas supplier in France. A few weeks ago, Gazprom reported that it reduced its exports of gas to non-FS countries by 36.2 percent and 78.5 billion cubic metres in the first seven and a half months of this year.","Russian","Negative","Economic",2022-08-30 10:54:00,TRUE,2022-08-30 10:54:00,-1,"Economic",1,187,16196040,16196040,0,3,0,1,0,0
