"","date_publish","source_domain","country","title_translated","first_two_sentences","Russian.Involvement","Sentiment","Topic","date_publish_continuous","has_time","date_publish_probabilistic","sentiment_clean","topic_clean","treatment","running","running_continuous","running_probabilistic","state_owned","indicator","csto","nato","neutral","high_russia"
"54061",2022-02-07,"tribuna.md","Moldova","The Ministry of Health: Other 1 511 new cases of COVID-19 infection have been confirmed in the Republic of Moldova","Other 1 511 new cases of COVID-19 infections have been confirmed in the Republic of Moldova, of which 819 cases in the Transnistrian Region inform TRIBUNA. According to a press release, of the total number of cases 4 are associated with contact abroad: 1 – Russia","Not","Neutral","Other",2022-02-07 10:17:00,TRUE,2022-02-07 10:17:00,0,"Other",0,-17,-1431780,-1431780,0,1,0,0,1,1
"51598",2022-04-10,"publika.md","Moldova","Ukraine: More than two thousand recruitable men were forbidden by the authorities to cross the border","Ukraine's border guards announced that nearly 2,200 recruiting men had prevented leaving Ukraine under conditions where men between 18 and 60 years of age had been banned since the beginning of the war with Russia","Russian","Neutral","Other",2022-04-10 18:25:41,TRUE,2022-04-10 18:25:41,0,"Other",1,45,3954341,3954341,0,3,0,0,1,1
"66012",2022-02-26,"sozcu.com.tr","Turkey","Medvedev: An opportunity to bring the death penalty","Medvedev: An opportunity to bring up the death penalty. Russia's former head of state, current Security Council Vice President Dmitri Medvedev, made important statements after Russia's invasion of Ukraine, making statements to bring up the death penalty debates.","Russian","Neutral","Political",2022-02-26 13:21:49,TRUE,2022-02-26 13:21:49,0,"Political",1,2,220909,220909,0,3,0,1,0,0
"38004",2022-05-27,"demokrata.hu","Hungary","Zelensij: Great Powers Flirting With Russia","According to Ukrainian President Volodimir Zelensky, the war in Ukraine could be stopped if the great powers of the world were not flirting with Russia, but really pressed to stop the aggression. He spoke of this in a video message from the head of state, from which the Ukrajinska Pravda News Portal quoted on Friday.","Russian","Neutral","Political",2022-05-27 15:49:00,TRUE,2022-05-27 15:49:00,0,"Political",1,92,8005740,8005740,0,3,0,1,0,0
"100789",2022-03-21,"magyarnemzet.hu","Hungary","Saudi and Iranian oil production may increase","Since the start of Russia's war in Ukraine and the emergence of western sanctions for it, due to the high price and possible decline in Russian oil exports, oil exporters are under pressure to increase their supply on the world market. Although Iran can only do so on a limited basis until the nuclear treaty with the country is re-established, the Persian State has now indicated that it will increase its exports from 1.2 to 1.4 million tonnes per day.","Not","Neutral","Economic",2022-03-21 06:25:00,TRUE,2022-03-21 06:25:00,0,"Economic",1,25,2183100,2183100,1,4,0,1,0,0
"70417",2022-03-23,"t24.com.tr","Turkey","Russian journalist donates Nobel Prize to Ukrainian refugees","I am calling to auction this world-famous award to their homes. Oppositionist Russian journalist Dimitri Muratov, owner of the 2021 Nobel Peace Prize, has decided to donate the Nobel Prize to Ukrainian refugees.","Russian","Neutral","Culture",2022-03-23 00:45:00,TRUE,2022-03-23 00:45:00,0,"Culture",1,27,2335500,2335500,0,3,0,1,0,0
"29315",2022-04-01,"golosarmenii.am","Armenia","Armenia abstained in the UNHRC vote on unilateral sanctions","Twenty-seven of the 47 countries, including Russia, China and India, voted in favour of the relevant resolution adopted at the meeting on Thursday, while 14 States, including the United States, the European Union, the United Kingdom and Ukraine, objected. Six delegations abstained in the vote, including Armenia, informed TASS.","Russian","Neutral","Political",2022-04-01 11:39:00,TRUE,2022-04-01 11:39:00,0,"Political",1,36,3152340,3152340,0,3,1,0,0,0
"82606",2021-10-22,"kosova-sot.info","Kosovo","Does Russia have a finger in forming association in Kosovo?","The Serbian side's request to establish the Association of Serb-run municipalities, and the denial of the Kosovo side that the Serb majority municipalities' association will not be formed, has become a ping pong game in the diplomatic battle of Kosovo-Serbia dialogue under the European Union's interremittence. The Serbian negotiating side has warned strong response to Kosovo institutions unless the Association is formed.","Russian","Neutral","Political",2021-10-22 10:41:48,TRUE,2021-10-22 10:41:48,0,"Political",0,-125,-10761492,-10761492,0,1,0,0,1,0
"88746",2022-06-01,"rs.n1info.com","Serbia","The United States and Germany are sending rockets to Ukraine, and Russia is warning of a possible conflict with the United States","The 98th day of the Russian invasion of Ukraine is over. Russian nuclear forces are holding exercises in the province of Ivanovo, northeast of Moscow.","Russian","Neutral","Military",2022-06-01 05:10:20,TRUE,2022-06-01 05:10:20,0,"Military",1,97,8399420,8399420,0,3,0,0,1,0
"100252",2022-01-20,"magyarnemzet.hu","Hungary","Viktor Orbán travels to Russia in early February","According to Dániel Deák's registration, one of the main topics will be the Paks 2 project.The Minister of Foreign Affairs said on Monday that it would be very important for all applications for the Paks expansion to be completed by the end of March.","Russian","Neutral","Other",2022-01-20 20:47:33,TRUE,2022-01-20 20:47:33,0,"Other",0,-35,-2949147,-2949147,1,2,0,1,0,0
