"","date_publish","source_domain","country","title_translated","first_two_sentences","Russian.Involvement","Sentiment","Topic","date_publish_continuous","has_time","date_publish_probabilistic","sentiment_clean","topic_clean","treatment","running","running_continuous","running_probabilistic","state_owned","indicator","csto","nato","neutral","high_russia"
"21382",2022-02-09,"nv-online.info","Belarus","Stolen six years ago, bitcoins were found from a Russian in the United States.","Six years ago, unknown hackers hacked into Hong Kong's Bitfinex crypto exchange, where the Bitcoin was worth about $600 a coin, the stock market lost about $61 million. Last week in the States, a couple charged with laundering the same Bitfinex crypt.","Russian","Neutral","Other",2022-02-09 11:52:43,TRUE,2022-02-09 11:52:43,0,"Other",0,-15,-1253237,-1253237,0,1,1,0,0,1
"18592",2022-07-22,"posta.com.tr","Turkey","Last corner at the nuclear plant","The foundation of Turkey's first nuclear plant project, the Akkuyu Nuclear Power Plant (NGS) in Mersin, was launched on April 3, 2018, at a ceremony attended by Russian President Vladimir Putin and President Recep Tayyip Erdogan through a video conference. Akkuyu Nuclear Power Plant, the first in the Republic's history, was the 4th, and the last reactor of the last reactor, which was yesterday attended by Energy and Natural Resources Minister Fatih G","Not","Neutral","Other",2022-07-22 07:00:02,TRUE,2022-07-22 07:00:02,0,"Other",1,148,12812402,12812402,0,3,0,1,0,0
"5786",2021-12-07,"1in.am","Armenia","In Russia, at least one day, COVID reported cases from mid-October on","In Russia, the daily growth of new patients has been almost 31 thousand 96. This is the lowest indicator of E since mid-October.","Russian","Neutral","Other",2021-12-07 12:00:00,FALSE,2021-12-07 16:19:22.491876,0,"Other",0,-79,-6782400,-6766837.50812387,0,1,1,0,0,0
"568",2022-03-08,"panorama.com.al","Albania","Day 13 of Russian aggression/in addition to war, citizens in Ukraine are facing another danger!","In the face of the war situation, citizens in Ukraine faced another threat, cold weather.The last day Ukraine has faced a situation of heavy snowfall in most of the country. As a BBC, this situation will escalate even more by bringing extreme temperatures in the middle of the week.","Russian","Negative","Other",2022-03-08 13:32:00,TRUE,2022-03-08 13:32:00,-1,"Other",1,12,1085520,1085520,0,3,0,1,0,0
"9172",2021-11-10,"nashaniva.by","Belarus","In Russia, the case against the Belarusians, Sergei Saveleev, who handed over the archives of torture in Russian prisons to human rights defenders, was dropped.","The Public Prosecutor &apos; s Office dismissed the criminal case against the informant Gulagu.net, Sergei Savelev, who had been informed of the project in his telegram, who had been charged with unlawful access to information (art. 272, para.","Russian","Positive","Other",2021-11-10 17:34:31,TRUE,2021-11-10 17:34:31,1,"Other",0,-106,-9095129,-9095129,0,1,1,0,0,1
"17065",2022-03-26,"danas.rs","Serbia","A curfew in Kiev again tonight","A curfew will be reintroduced in Kiev from tonight until Monday morning, said the mayor of the capital of Ukraine, Vitali Klitschko. \""The military command has decided to increase the curfew.","Russian","Neutral","Other",2022-03-26 12:01:00,TRUE,2022-03-26 12:01:00,0,"Other",1,30,2635260,2635260,0,3,0,0,1,0
"11885",2022-03-12,"hvg.hu","Hungary","""Don't take us back to 1917,"" says Putin the richest Russian businessman","A warning was sent to the Kremlin by Russia's officially richest man, Vladimir Potanyin. The president and main shareholder of Norilsk Nickel mining company on Telegram wrote that if the Russian government confiscated the local assets of Western companies that exit from war sanctions, it would take us back a hundred years in time, 1917, and the consequences of such a move - global investor distrust towards Russia - still many decades","Russian","Neutral","Other",2022-03-12 12:00:00,FALSE,2022-03-12 11:15:31.421,0,"Other",1,16,1425600,1422931.42099977,0,3,0,1,0,0
"26442",2022-08-29,"rs.n1info.com","Serbia","Russian journalist accused of financing extremists - donated 16 euros to Navalny's fund","An independent Russian journalist has been charged with financing an extremist organization for donating a small amount of money to a foundation founded by arrested Russian opposition leader Alexei Navalny, Russian media reported. It is the first publicly known prosecution for donations to Navalny's organizations since they were declared extremist and banned last summer.","Russian","Neutral","Other",2022-08-29 18:54:51,TRUE,2022-08-29 18:54:51,0,"Other",1,186,16138491,16138491,0,3,0,0,1,0
"26455",2022-08-07,"rs.n1info.com","Serbia","Russian journalist declared persona non grata in Kosovo","The Minister of Internal Affairs of Kosovo, Dželjalj Svečlja, announced that the Russian journalist Daria Aslamova was declared persona non grata and that she was banned from entering Kosovo for five years. Kosovo.","Russian","Negative","Other",2022-08-07 09:16:14,TRUE,2022-08-07 09:16:14,-1,"Other",1,164,14202974,14202974,0,3,0,0,1,0
"30367",2021-12-03,"moldova-suverana.md","Moldova","Yeah, the scholars, but another smarter name than Omicron didn't you find?","Alexander Padar, founder of the Russian Omicron Omicron Omicron Hospital Network, wants to ban the World Health Organization (WHO) using this name to name the new variant of coronavirus, told Joi radio post of Govorit Moscow, quoted by.","Russian","Neutral","Other",2021-12-03 00:45:00,TRUE,2021-12-03 00:45:00,0,"Other",0,-83,-7168500,-7168500,1,2,0,0,1,1
