"","date_publish","source_domain","country","title_translated","first_two_sentences","Russian.Involvement","Sentiment","Topic","date_publish_continuous","has_time","date_publish_probabilistic","sentiment_clean","topic_clean","treatment","running","running_continuous","running_probabilistic","state_owned","indicator","csto","nato","neutral","high_russia"
"1036",2022-08-02,"turan.az","Azerbaijan","Zakharova:","Baku/02.08.22/Turan: Russia is making efforts to prepare a peace treaty between Azerbaijan and Armenia. The special representative of the Russian Foreign Minister, Igor Khovayev, conducts regular consultations with the parties in order to find a common language, to obtain mutually acceptable basic principles and parameters of the peace agreement.","Russian","Positive","Political",2022-08-02 16:56:16,TRUE,2022-08-02 16:56:16,1,"Political",1,159,13798576,13798576,0,3,1,0,0,0
"649",2021-12-13,"azeritimes.com","Azerbaijan","Russian peacekeepers promise to oversee return of all Armenian prisoners held in Azerbaijan","“The work on the return of captured Armenian soldiers is ongoing at the moment, it is positive, there is understanding. I believe that this issue should be resolved completely and the Russian peacekeepers will bring this matter to an end”, said Rustam Muradov, deputy commander of the Southern Military District.","Russian","Positive","Military",2021-12-13 12:00:00,FALSE,2021-12-13 11:50:44.96905,1,"Military",0,-73,-6264000,-6264555.03095007,0,1,1,0,0,0
"4764",2022-05-15,"botasot.info","Kosovo","ruling party in Sweden: We to apply for NATO membership","Sweden's ruling Social Democrat Party has supported the country's NATO membership.The news has been posted on Twitter by Swedish Foreign Minister Ann Linde. Today the Swedish Social Democrat Party made a historic decision to say 'PO' to NATO membership application.The Russian invasion of Ukraine has exacerbated the security situation in Sweden and Europe as a whole,"" Linde wrote.","Russian","Positive","Military",2022-05-15 18:08:00,TRUE,2022-05-15 18:08:00,1,"Military",1,80,6977280,6977280,0,3,0,0,1,0
"2551",2022-02-10,"azatutyun.am","Armenia","Goodness: Moscow is willing to work towards improving relations with London","Moscow is ready to work towards improving relations with London. Russia's Russian producer Sergei Lavaro has announced it today in Moscow's U.S. foreign political prison.","Russian","Positive","Political",2022-02-10 09:02:31,TRUE,2022-02-10 09:02:31,1,"Political",0,-14,-1177049,-1177049,0,1,1,0,0,0
"8583",2021-08-06,"rs.n1info.com","Serbia","Dacic: Serbia will donate 50,000 doses of Sputnik V to Iran","Share it:\nSource: H1\nThe President of the National Assembly, Ivica Dačić, stated in Tehran that Serbia will donate 50,000 doses of Sputnik V vaccines to Iran.\n\""I conveyed the decision of the Government of Serbia to donate 50,000 doses of Sputnik V to the people of Iran. We know that it is a small amount for such a large country, but it is a gesture of friendship, \""said Dacic in Tehran, where he was at the inauguration of the new president of Iran, Ebrahim Raisi.\nDacic said that Serbia and Iran are traditionally friendly countries, and that dates back to the time of the former Yugoslavia, RTS reported.\nSource: Tanjug\n\""We have always had mutual understanding for all problems, double standards that the international community has.","Russian","Positive","Other",2021-08-06 06:52:59,TRUE,2021-08-06 06:52:59,1,"Other",0,-202,-17428021,-17428021,0,1,0,0,1,0
"9672",2022-04-12,"eng.belta.by","Belarus","Lukashenko: Belarus has something to contribute to Russia's might","AMUR OBLAST, 12 April (BelTA) – Belarus and Russia will surely endure in the current circumstances. Belarus President Aleksandr Lukashenko expressed confidence about it during negotiations with President of Russia Vladimir Putin at the Vostochny Cosmodrome in Russia's Amur Oblast on 12 April, BelTA has learned.","Russian","Positive","Political",2022-04-12 15:06:37,TRUE,2022-04-12 15:06:37,1,"Political",1,47,4115197,4115197,1,4,1,0,0,1
"9581",2022-02-09,"eng.belta.by","Belarus","Russian envoy: Closer integration enables Russia, Belarus to fight back Western sanctions","MINSK, 9 February (BelTA) - Active integration of Russia and Belarus within the framework of the Union State enables Moscow and Minsk resist Western sanctions more effectively, Russian Ambassador to Belarus Boris Gryzlov said in an interview with the Rossiya-24 TV channel., TASS reports. ""It [the sanctions policy of the West] pushes Russia and Belarus for more robust integration because it is an integrated structure that will help the two countries fight back the Western sanctions with greater confidence,"" Ambassador Boris Gryzlov noted.","Russian","Positive","Political",2022-02-09 16:32:53,TRUE,2022-02-09 16:32:53,1,"Political",0,-15,-1236427,-1236427,1,2,1,0,0,1
"5332",2022-02-07,"danas.rs","Serbia","Petković: Russia's help on the issue of Kosovo is invaluable","The director of the Government Office for Kosovo and Metohija, Petar Petković, assessed today that for Belgrade, Russia's support and assistance on the issue of Kosovo is \""invaluable. Petković said in a conversation with Russian Ambassador to Belgrade Aleksandar Bocan Kharchenko that pressure and repression against the Serbian people and accused the Pristina authorities of \""openly trying to endanger and abolish all political and civil rights of Serbs in Kosovo and Metohija.\""","Russian","Positive","Political",2022-02-07 16:06:00,TRUE,2022-02-07 16:06:00,1,"Political",0,-17,-1410840,-1410840,0,1,0,0,1,0
"10638",2022-02-27,"trthaber.com","Turkey","U.S. to Ukraine $54m in humanitarian aid","The U.S. International Development Agency (USAID) has issued a statement on humanitarian aid to Ukraine. The US will provide additional $54m to Ukraine with additional humanitarian assistance.","Not","Positive","Other",2022-02-27 17:55:00,TRUE,2022-02-27 17:55:00,1,"Other",1,3,323700,323700,1,4,0,1,0,0
"6672",2021-09-16,"sb.by","Belarus","The Council of Ministers of the Federal State approved a set of programmes to enhance integration","At a meeting in Kremlin on 9 September, the pre-presidents of Belarus and Russia launched a qualitatively new phase of integration in the Federal State. Alexander Lukashenka and Vladimir Putin agreed on all 28 proposed allied programmes for their consideration.","Russian","Positive","Political",2021-09-16 09:44:28,TRUE,2021-09-16 09:44:28,1,"Political",0,-161,-13875332,-13875332,1,2,1,0,0,1
