,X,X_id,date_publish,language,source_domain,url,month,year,language_translated,maintext_translated,title_translated,country,sarah_russia_related,sarah_russia_sentiment,sarah_topic,donald_russia_related,donald_sentiment_recoding,donald_topic,agree_russia,agree_sentiment,agree_topic,GPT_Russian_Involvement,GPT_Sentiment,GPT_Topic,GPT_Agreement_Russian_Involvement,GPT_Agreement_Sentiment,GPT_Agreement_Topic,GPT_Russian_Involvement,GPT_Sentiment,GPT_Topic,GPT_Agree_R,GPT_Agree_S,GPT_Agree_T
0,79,6407b9d65cf94604ae94dfe3,9/21/2021 4:38,ro,timpul.md,https://timpul.md/articol/plahotniuc-ilan-sor-si-veaceslav-platon-nu-figureaza-in-listele-persoanelor-anuntate-in-cautare-de-interpol-166619.html,9,2021,en,"The first request to Interpol on Plahotnic's announcement of international search came from the Russian Federation, which accuses him of organizing a criminal group, money laundering and drug smuggling in very large proportions.","Plahotnic, Ilan Hór and Veacelav Platon are not listed in the lists of people who have been notified to search for Interpol",Moldova,yes,-1,economic,yes,0,economic,TRUE,TRUE,TRUE,yes,-1,political,TRUE,FALSE,FALSE,yes,0,political,TRUE,FALSE,TRUE
1,72,62ff4d6b430a87f73dd1068e,10/22/2021 11:23,tr,diken.com.tr,https://www.diken.com.tr/kate-beckinsale-yuksek-iq-kariyerimde-handikap-oldu/,10,2021,en,"The British actress Kate Beckinsale explained that having a high IQ is a handicap in her career in Hollywood. Photo: Reuters. The country's world-famous prestigious educational institution, Beckinsale, who left French and Russian literature for acting in the third grade at Oxford University, explained that the IQ score was 152.",Kate Beckinsale: A handicap in my high IQ career,Turkey,no,0,culture,no,0,culture,TRUE,TRUE,TRUE,no,0,culture,TRUE,TRUE,TRUE,no,0,culture,TRUE,TRUE,TRUE
2,431,632d29852cc5f09f0ab51eda,2/15/2022 12:34,hu,demokrata.hu,https://demokrata.hu/vilag/peking-felelotlenseg-hangulatkelto-kijelenteseket-tenni-ukrajna-kapcsan-488420/,2,2022,en,"On Tuesday, the spokesperson of the Chinese Ministry of Foreign Affairs said that it was irresponsible to make sentimental statements about the situation in Ukraine after the G7 group of the world's most advanced industrialised countries proposed economic sanctions against Russia on Monday in case of attacking Ukraine. Vang Ven-pin at a press conference called on the parties to create the necessary conditions in a fair and open manner for the political settlement of the situation.",Beijing: irresponsible to make moody statements about Ukraine,Hungary,yes,1,economic,yes,0,political,TRUE,TRUE,FALSE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
3,4458,624756fef13d32109aad0677,2/28/2022 14:15,ru,pravda.com.ua,https://www.pravda.com.ua/news/2022/02/28/7326828/,2,2022,en,"Mr. Sergius Schoig, the Russian Defense Secretary, followed by Russian President Volodymir Putien, who also managed Raketnih, the Russian Federation, to the service of the powerful warehouse.","Schoigou, like the Viconaw punishment of Putin.",Ukraine,yes,0,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,FALSE,yes,0,military,TRUE,TRUE,TRUE
4,5094,63e58c379e33bcc0ca835937,5/2/2022 18:00,ru,zerkalo.az,https://zerkalo.az/indijskaya-tata-steel-otkazalas-ot-uglya-iz-rossii/,5,2022,en,"The Indian Tata Steel, which is one of the top ten steel companies in the world, has decided to stop imports of coal from Russia. According to the British newspaper Financial Times (FT), this is due to the reluctance of the steel company to be subject to Western sanctions.",Indian Tata Steel abandoned coal from Russia,Azerbaijan,yes,-1,economic,yes,-1,economic,TRUE,TRUE,TRUE,yes,-1,economic,TRUE,TRUE,TRUE,yes,0,economic,TRUE,FALSE,TRUE
5,2049,632bd8c8f0f033903a3200a3,3/6/2022 13:01,hu,168.hu,https://168.hu/kulfold/tobb-mint-ketezer-ukran-katonai-infrastuktura-megsemmisiteserol-szamolt-be-oroszorszag-228522,3,2022,en,"According to the Russians, Ukraine was a few months away from having its own nuclear weapon. Since the beginning of the war against Ukraine, the Russian forces have destroyed 2203 objects of Ukrainian military infrastructure. On Sunday, Maj-Gen Igor Konasenkov, spokesperson of the Russian Ministry of Defence.... Konasenkov said that ten Ukrainian fighters, combat helicopters and six drones have been destroyed in the last day and that",Russia reported on the destruction of more than two thousand Ukrainian military infrastructure,Hungary,yes,1,military,yes,1,military,TRUE,TRUE,TRUE,yes,-1,military,TRUE,FALSE,TRUE,yes,-1,military,TRUE,TRUE,TRUE
6,1324,63e1f20bd42c551a055f64f4,11/5/2021,en,azeritimes.com,https://azeritimes.com/2021/11/25/bloomberg-opec-expects-released-oil-stockpiles-to-create-oversupply-in-market/,11,2021,en,"OPEC expects that oil stockpiles released by consuming nations could massively swell the surplus in global markets, Report informs referring to Bloomberg.
The projections from OPEC’s advisory body – the Economic Commission Board – come a week before the group and its allies meet to decide whether to increase production.
Some delegates from the Organization of Petroleum Exporting Countries and its partners have indicated they could cancel an output hike scheduled for January if inventories deployed by the US and others overwhelm the market. The ECB’s projections would bolster the case of countries lobbying for such a pause.
The excess in world markets would expand by 1.1 million barrels a day in January and February to 2.3 million and 3.7 million a day, respectively, if 66 million barrels are injected over the two-month period, according to a document obtained by Bloomberg.
President Joe Biden orchestrated the multi-national stockpile release announced on November 23 to calm raging gasoline prices after OPEC+ – led by Saudi Arabia and Russia – ignored calls to revive production more quickly.
The 23-nation OPEC+ coalition is due to meet on December 1 and 2 to decide whether to add 400,000 barrels a day in January as it continues to revive supplies halted during the pandemic.
Subscribe to our Twitter page",Bloomberg: OPEC expects released oil stockpiles to create oversupply in market,Azerbaijan,no,0,economic,no,0,economic,TRUE,TRUE,TRUE,no,0,economic,TRUE,TRUE,TRUE,no,0,economic,TRUE,TRUE,TRUE
7,787,63e43d6a09467b8e20d57325,4/13/2022,az,abzas.org,https://abzas.org/2022/4/zelenski-medvedcuku-rusiya-%C9%99sirliyind%C9%99ki-ukraynalilarla-d%C9%99yism%C9%99yi-t%C9%99klif-edir%C9%99m/,4,2022,en,"The President of Ukraine Volodymyr Zelenskiy suggested to the Russian authorities to exchange the MP Viktor Medvedchuk, who was arrested yesterday, with captured Ukrainians. The President of Ukraine Volodymyr Zelensky announced this in his video address on April 12 on the Telegram channel. Zelensky called Medvedchuk's use of military camouflage to hide ""special shamelessness"": I suggest to exchange him with our boys and girls in Russian captivity. It is important that the Russian law enforcement agencies and the military take this possibility into account.""","Zelensky: ""I propose to exchange Medvedchuk for Ukrainians in Russian captivity""",Azerbaijan,yes,0,military,yes,0,political,TRUE,TRUE,FALSE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
8,9943,651488dc6df8fb60784dbea7,6/29/2022 22:01,sq,botasot.info,https://www.botasot.info/bota/1833527/luftetaret-rebele-te-perfshire-ne-shkembimin-e-te-burgosurve/,6,2022,en,"Today it was reported on the exchange of prisoners who seem to have occurred among the warring parties today, and earlier we reported that Ukraine had claimed to have taken 144 soldiers from Russia, many of them with serious injuries; now, the head of Russia's self - proclaimed People's Republic of Donentsk, Ukraine, said: ""By writing on the telegram, Dennis Pushilin, the head of the self - proclaimed Donetsk People's Republic, he said",Rebellious warriors involved in the exchange of prisoners!,Kosovo,yes,0,military,yes,0,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,TRUE,yes,0,military,TRUE,TRUE,TRUE
9,725,629d13ceccfe40f7f9ebde80,5/18/2022 14:59,sq,gazetatema.net,https://english.gazetatema.net/kosovo-region/where-to-next-western-balkans-i327026,5,2022,en,"While Europe and the world are represented with Russia's war in Ukraine, one EU project that has been dragging on for years has been long ago: input in the Balkans.","Where to Next, Western Balkans?",Albania,yes,-1,political,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE,yes,0,political,TRUE,TRUE,TRUE
