spec,kind,term,estimate,std_error,p_value,n_obs,bandwidth,boot_p
H1,total,treatment,-0.23978472396242448,0.034552539448376954,3.928959656380734e-12,45398,2132095.8422167827,NA
H1,main,treatment,-0.21719148112736247,0.036191571818788,1.9591055152048726e-9,45366,2129700.7326584053,NA
H2,"non-NATO sample, topic-adjusted",treatment:state_owned,0.16560663660043834,0.07963957498729642,0.04373137280913957,38264,NA,0.13628136281362813
H2,total,treatment:state_owned,0.174481554663948,0.0876599392816457,0.053076917310442125,38218,NA,0.15017150171501714
H2,main,treatment:state_owned,0.22189793584155232,0.06909324655480568,0.002535291814482167,31405,NA,0.032360323603236034
H2,"total, non-military",treatment:state_owned,0.20793435305166838,0.0711979454115569,0.0055999696052391286,31251,NA,0.038130381303813035
H3a,"non-NATO sample, topic-adjusted",treatment:csto,-0.1926311188646402,0.11099552550660492,0.10834717929968556,7164,NA,0.26021260212602126
H3a,total,treatment:csto,-0.22184771628974131,0.12194975211552617,0.09391032213887505,6999,NA,0.22147221472214723
H3a,main,treatment:csto,-0.33228760583738265,0.11082683642234382,0.011122899005755454,6094,NA,0.048650486504865045
H3a,"total, non-military",treatment:csto,-0.37077600095633334,0.11657558908478026,0.007912922126040233,6028,NA,0.04144041440414404
