hypothesis,spec,variant,object,estimate,std_error,p_value,boot_se,boot_p,n_obs,n_clusters,available
H1,"Main (Table 1, Model 5)",Probabilistic,model5_opt,-0.21719148112736247,0.036191571818788,1.9591055152048726e-9,NA,NA,45366,NA,TRUE
H1,"Main (Table 1, Model 5)",Day,model5_opt,-0.26716676129165273,0.0340690614320756,4.437186715188305e-15,NA,NA,68973,NA,TRUE
H1,"Main (Table 1, Model 5)",Drop,model5_opt,NA,NA,NA,NA,NA,NA,NA,FALSE
H2,"Main (Table 2, Model 5)",Probabilistic,model2d_z,0.22189793584155232,0.0690976480994429,0.002535291814482167,0.06909324655480568,0.034406881376275254,31405,43,TRUE
H2,"Matched (Table 2, Model 6)",Probabilistic,matched_model_z,0.22229643467973667,0.0690263396863446,0.0024718285566242954,0.06902193903996591,0.03340668133626725,31379,43,TRUE
H2,"Main (Table 2, Model 5)",Day,model2d_z,0.24839856452990505,0.055861437406062586,6.274449279475367e-5,0.055858376002124864,0.008601720344068814,36502,43,TRUE
H2,"Matched (Table 2, Model 6)",Day,matched_model_z,0.18157167445757932,0.055408070206359246,0.001760618569538003,0.05540536030141943,0.01240248049609922,40901,60,TRUE
H2,"Main (Table 2, Model 5)",Drop,model2d_z,0.15363941066516587,0.07626731780400665,0.05270420097925319,0.0762607339540682,0.09661932386477295,23176,32,TRUE
H2,"Matched (Table 2, Model 6)",Drop,matched_model_z,0.08808928138050161,0.07072935795053491,0.21941563779228554,0.07072243083047954,0.2596519303860772,20429,46,TRUE
H3a,"Main (Table 4, Model 4)",Probabilistic,model5a_opt_non_mil_z,-0.33228760583738265,0.11086326865098543,0.011122899005755454,0.11082683642234382,0.053010602120424084,6094,13,TRUE
H3a,"Matched (Table 4, Model 5)",Probabilistic,matched_model,-0.38037380516206487,0.11196871614823102,0.005297599935550503,0.11192951827692925,0.029205841168233646,5721,13,TRUE
H3a,"Main (Table 4, Model 4)",Day,model5a_opt_non_mil_z,-0.2648637738652526,0.10131488793655509,0.022623054819766664,0.1012835259521867,0.10122024404880976,6469,13,TRUE
H3a,"Matched (Table 4, Model 5)",Day,matched_model,-0.3111320642363035,0.10396321196924994,0.01121757891181552,0.1039290640911775,0.0604120824164833,6097,13,TRUE
H3a,"Main (Table 4, Model 4)",Drop,model5a_opt_non_mil_z,-0.3640764691318249,0.10915106333495081,0.007547182797113196,0.10911345097558718,0.046409281856371276,5812,11,TRUE
H3a,"Matched (Table 4, Model 5)",Drop,matched_model,-0.3640764691318249,0.10915106333495081,0.007547182797113196,0.10911345097558718,0.04400880176035207,5812,11,TRUE
H3b,"Main (Table 5, Model 4)",Probabilistic,model6a_opt_non_mil_z,-0.0023806877213015097,0.14794637057450946,0.9874257972472322,0.14789773599841324,0.9891978395679136,6092,13,TRUE
H3b,"Matched (Table 5, Model 5)",Probabilistic,matched_model_z,0.015211463582421036,0.14464236923069343,0.9179815043421237,0.14459402619262593,0.9167833566713343,5992,13,TRUE
H3b,"Main (Table 5, Model 4)",Day,model6a_opt_non_mil_z,0.03216293739283236,0.13308181012661904,0.8131102483055208,0.13304158591224108,0.8309661932386477,6625,13,TRUE
H3b,"Matched (Table 5, Model 5)",Day,matched_model_z,0.049508270463223036,0.1305750089955968,0.7111960471395674,0.13053493687271167,0.7205441088217643,6525,13,TRUE
H3b,"Main (Table 5, Model 4)",Drop,model6a_opt_non_mil_z,NA,NA,NA,NA,NA,NA,NA,FALSE
H3b,"Matched (Table 5, Model 5)",Drop,matched_model_z,NA,NA,NA,NA,NA,NA,NA,FALSE
